,10707 AULDINE,SAN ANTONIO,TX,78230
,523 AURELIA,SAN ANTONIO,TX,78220
,7548 AUTUMN PARK,SAN ANTONIO,TX,78249
,211 BAKER,SAN ANTONIO,TX,78211
,238 BAKER,SAN ANTONIO,TX,78211
,335 BAKER,SAN ANTONIO,TX,78211
,8635 BASCUM,SAN ANTONIO,TX,78221
,1238 BASSE,SAN ANTONIO,TX,78212
,4930 BAYHEAD,SAN ANTONIO,TX,78220
,4939 BAYHEAD,SAN ANTONIO,TX,78220
,4947 BAYHEAD,SAN ANTONIO,TX,78220
,2922 BEACON,SAN ANTONIO,TX,78212
,3006 BEACON,SAN ANTONIO,TX,78212
,306 BEAM,SAN ANTONIO,TX,78221
,23428 BEAVER CRK,SAN ANTONIO,TX,78258
,7507 BEAVER TREE,SAN ANTONIO,TX,78249
,7563 BEAVER TREE,SAN ANTONIO,TX,78249
,16179 BELEN,SAN ANTONIO,TX,78221
,108 BELLINGER,SAN ANTONIO,TX,78220
,236 BELVIDERE,OLMOS PARK,TX,78212
,306 BELVIDERE,OLMOS PARK,TX,78212
,4955 BENHAM,SAN ANTONIO,TX,78220
,303 BERLIN,SAN ANTONIO,TX,78211
,323 BERLIN,SAN ANTONIO,TX,78211
,415 BERLIN,SAN ANTONIO,TX,78211
,622 BERLIN,SAN ANTONIO,TX,78211
,714 BERLIN,SAN ANTONIO,TX,78211
,801 BERLIN,SAN ANTONIO,TX,78211
,1022 BERLIN,SAN ANTONIO,TX,78211
,1202 BERLIN,SAN ANTONIO,TX,78211
,1222 BERLIN,SAN ANTONIO,TX,78211
,1550 WW WHITE,SAN ANTONIO,TX,78220
,4623 BERNADINE,SAN ANTONIO,TX,78220
,4718 BERNADINE,SAN ANTONIO,TX,78220
,5014 BERNADINE,SAN ANTONIO,TX,78220
,731 BERNARD,SAN ANTONIO,TX,78221
,807 BERNARD,SAN ANTONIO,TX,78221
,907 BERNARD,SAN ANTONIO,TX,78221
,938 BERNARD,SAN ANTONIO,TX,78221
,6617 BISCAY BAY,SAN ANTONIO,TX,78249
,4606 BLACK OAK WOODS,SAN ANTONIO,TX,78249
,302 RED CEDAR,SHAVANO PARK,TX,78230
,315 BLANCO,SAN ANTONIO,TX,78212
,319 BLANCO,SAN ANTONIO,TX,78212
,2170 BLUE WING,SAN ANTONIO,TX,78221
,3107 BLUEFIELD,SAN ANTONIO,TX,78230
,7323 BLUESTONE,SAN ANTONIO,TX,78249
,207 BOX OAK,SHAVANO PARK,TX,78230
,219 BOX OAK,SHAVANO PARK,TX,78230
,223 BOX OAK,SHAVANO PARK,TX,78230
,323 BOX OAK,SHAVANO PARK,TX,78230
,331 BOX OAK,SHAVANO PARK,TX,78230
,309 BRADLEY,SAN ANTONIO,TX,78211
,204 BRANCH OAK,SHAVANO PARK,TX,78230
,212 BRANCH OAK,SHAVANO PARK,TX,78230
,230 BRANCH OAK,SHAVANO PARK,TX,78230
,231 BRANCH OAK,SHAVANO PARK,TX,78230
,240 BRANCH OAK,SHAVANO PARK,TX,78230
,247 BRANCH OAK,SHAVANO PARK,TX,78230
,325 BRANCH OAK,SHAVANO PARK,TX,78230
,333 BRANCH OAK,SHAVANO PARK,TX,78230
,108 BRETFORD,SAN ANTONIO,TX,78230
,137 BRIGGS,SAN ANTONIO,TX,78211
,220 BRIGGS,SAN ANTONIO,TX,78211
,227 BRIGGS,SAN ANTONIO,TX,78211
,259 BRIGGS,SAN ANTONIO,TX,78211
,261 BRIGGS,SAN ANTONIO,TX,78211
,341 BRIGGS,SAN ANTONIO,TX,78211
,532 BRIGGS,SAN ANTONIO,TX,78211
,638 BRIGGS,SAN ANTONIO,TX,78211
,718 BRIGGS,SAN ANTONIO,TX,78211
,954 BRIGHTON,SAN ANTONIO,TX,78211
,1131 BRIGHTON,SAN ANTONIO,TX,78211
,1201 BRIGHTON,SAN ANTONIO,TX,78211
,1243 BRIGHTON,SAN ANTONIO,TX,78211
,1244 BRIGHTON,SAN ANTONIO,TX,78211
,1254 BRIGHTON,SAN ANTONIO,TX,78211
,1306 BRIGHTON,SAN ANTONIO,TX,78211
,1330 BRIGHTON,SAN ANTONIO,TX,78211
,1532 BRIGHTON,SAN ANTONIO,TX,78211
,1546 BRIGHTON,SAN ANTONIO,TX,78211
,1124 BRUNSWICK,SAN ANTONIO,TX,78211
,1136 BRUNSWICK,SAN ANTONIO,TX,78211
,1172 BRUNSWICK,SAN ANTONIO,TX,78211
,1216 BRUNSWICK,SAN ANTONIO,TX,78211
,1302 BRUNSWICK,SAN ANTONIO,TX,78211
,1822 BUFFALO,SAN ANTONIO,TX,78211
,106 BUNDY,SAN ANTONIO,TX,78220
,247 BUNDY,SAN ANTONIO,TX,78220
,375 BUNDY,SAN ANTONIO,TX,78220
,430 BUNDY,SAN ANTONIO,TX,78220
,506 BUNDY,SAN ANTONIO,TX,78220
,538 BUNDY,SAN ANTONIO,TX,78220
